centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
20216528,House for sale,1099000,1956,10,0,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/20216528?view=Summary
24682050,House for sale,1139000,1924,5,0,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/24682050?view=Summary
17554566,House for sale,1545000,1919,7,0,saint-lambert-monteregie,montreal,5,3,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/17554566?view=Summary
17881412,House for sale,549900,1959,4,0,saint-lambert-monteregie,montreal,4,1,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/17881412?view=Summary
17034837,House for sale,1089000,1962,12,0,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/17034837?view=Summary
16484652,House for sale,779900,1946,9,0,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/16484652?view=Summary
25534100,House for sale,819000,1948,6,0,saint-lambert-monteregie,montreal,5,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/25534100?view=Summary
22380906,House for sale,789000,1913,2,0,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/22380906?view=Summary
14075762,House for sale,1400000,1926,11,0,saint-lambert-monteregie,montreal,7,1,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/14075762?view=Summary
11876126,House for sale,1195000,1973,10,0,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/11876126?view=Summary
27859203,House for sale,1399000,1913,5,0,saint-lambert-monteregie,montreal,5,3,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/27859203?view=Summary
