centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
27432953,Condominium house for sale,719000,2017,0,0,montreal-lasalle,montreal,5,3,https://www.centris.ca/en/condominium-houses~for-sale~montreal-lasalle/27432953?view=Summary
27801733,Condo for sale,489000,2012,0,1,montreal-lasalle,montreal,3,2,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/27801733?view=Summary
17080112,Condo for sale,349000,2000,0,1,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/17080112?view=Summary
9552652,Condominium house for sale,664900,2020,0,0,montreal-lasalle,montreal,3,1,https://www.centris.ca/en/condominium-houses~for-sale~montreal-lasalle/9552652?view=Summary
16223013,Condo for sale,280000,2018,0,410,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/16223013?view=Summary
22750498,Condo for sale,430000,2016,0,1,montreal-lasalle,montreal,3,2,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/22750498?view=Summary
12295478,Condo for sale,543000,2020,0,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/12295478?view=Summary
14903502,Condo for sale,399900,1984,0,1,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/14903502?view=Summary
12077722,Condominium house for sale,689000,2016,0,0,montreal-lasalle,montreal,4,1,https://www.centris.ca/en/condominium-houses~for-sale~montreal-lasalle/12077722?view=Summary
17200609,Condo for sale,408000,2016,0,826,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/17200609?view=Summary
15913063,Condo for sale,369000,1999,0,883,montreal-lasalle,montreal,3,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/15913063?view=Summary
21535696,Condo for sale,429000,2015,0,840,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/21535696?view=Summary
16339108,Condo for sale,479900,1991,0,1,montreal-lasalle,montreal,3,2,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/16339108?view=Summary
26898871,Condo for sale,496293,2020,0,0,montreal-lasalle,montreal,3,2,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/26898871?view=Summary
17227121,Condo for sale,344000,2012,0,796,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/17227121?view=Summary
15769093,Condo for sale,324900,2008,0,952,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/15769093?view=Summary
13976951,Condominium house for sale,569900,2020,0,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condominium-houses~for-sale~montreal-lasalle/13976951?view=Summary
28949546,Condo for sale,529000,2012,0,1,montreal-lasalle,montreal,3,2,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/28949546?view=Summary
26485266,Condo for sale,499000,2020,0,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/26485266?view=Summary
15017506,Condo for sale,386000,2012,0,832,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/15017506?view=Summary
10222846,Condo for sale,308000,2020,0,0,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/10222846?view=Summary
18861337,Condo for sale,527000,2020,0,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/18861337?view=Summary
