centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
23916971,House for sale,625000,1955,4,0,montreal-lasalle,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/23916971?view=Summary
11444874,House for sale,683500,2020,0,0,montreal-lasalle,montreal,5,3,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/11444874?view=Summary
13992384,House for sale,569000,1955,5,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/13992384?view=Summary
9087722,House for sale,529000,1918,2,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/9087722?view=Summary
28652439,House for sale,447950,1944,2,0,montreal-lasalle,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/28652439?view=Summary
13976951,Condominium house for sale,569900,2020,0,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condominium-houses~for-sale~montreal-lasalle/13976951?view=Summary
10450715,House for sale,683500,2020,0,0,montreal-lasalle,montreal,5,3,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/10450715?view=Summary
9890524,House for sale,459000,1965,2,0,montreal-lasalle,montreal,4,1,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/9890524?view=Summary
9552652,Condominium house for sale,664900,2020,0,0,montreal-lasalle,montreal,3,1,https://www.centris.ca/en/condominium-houses~for-sale~montreal-lasalle/9552652?view=Summary
28515636,House for sale,1199000,1985,5,0,montreal-lasalle,montreal,6,3,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/28515636?view=Summary
22672971,House for sale,666500,2020,0,0,montreal-lasalle,montreal,5,3,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/22672971?view=Summary
11309589,House for sale,499000,1955,4,0,montreal-lasalle,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/11309589?view=Summary
27167481,House for sale,694500,2020,0,0,montreal-lasalle,montreal,5,3,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/27167481?view=Summary
26679586,House for sale,699000,1980,2,0,montreal-lasalle,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/26679586?view=Summary
