centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
,Condominium house for sale,629000,2001,3,0,saint-lambert-monteregie,montreal,4,1,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/20353902?view=Summary&uc=1
21443819,House for sale,899500,1971,7,0,saint-lambert-monteregie,montreal,5,3,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/21443819?view=Summary&uc=1
19525760,Condominium house for sale,539000,1997,1,0,saint-lambert-monteregie,montreal,3,1,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/19525760?view=Summary&uc=1
15167551,House for sale,1022000,1909,2,0,saint-lambert-monteregie,montreal,9,-1,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/15167551?view=Summary&uc=1
26093532,House for sale,835000,1953,0,0,saint-lambert-monteregie,montreal,5,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/26093532?view=Summary&uc=1
11282911,Condominium house for sale,895000,2018,998,0,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/11282911?view=Summary&uc=1
11130349,Condominium house for sale,659000,2002,0,0,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/11130349?view=Summary&uc=1
15405872,House for sale,1299000,1913,5,0,saint-lambert-monteregie,montreal,5,3,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/15405872?view=Summary&uc=1
15722274,House for sale,1375000,1999,7,0,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/15722274?view=Summary&uc=1
9462693,House for sale,629000,2001,0,0,saint-lambert-monteregie,montreal,4,1,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/9462693?view=Summary&uc=1
16060907,House for sale,949900,1987,6,0,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/16060907?view=Summary&uc=1
12006074,House for sale,819000,1953,4,0,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/12006074?view=Summary&uc=1
16499311,House for sale,1499000,1950,7,0,saint-lambert-monteregie,montreal,4,3,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/16499311?view=Summary&uc=1
28176509,House for sale,950000,1944,7,0,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/28176509?view=Summary&uc=1
15385800,House for sale,1399000,1998,5,0,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/15385800?view=Summary&uc=1
27677102,House for sale,749000,1967,6,0,saint-lambert-monteregie,montreal,5,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/27677102?view=Summary&uc=1
28499908,House for sale,1599000,1950,12,0,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/28499908?view=Summary&uc=1
