centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
19515620,House for sale,599000,2020,4,0,montreal-lachine,montreal,3,3,https://www.centris.ca/en/houses~for-sale~montreal-lachine/19515620?view=Summary
16592432,House for sale,629000,1951,4,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/16592432?view=Summary
18749624,House for sale,569000,1925,1,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/18749624?view=Summary
17667081,House for sale,1225000,2020,0,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/17667081?view=Summary
16978186,Condominium house for sale,799000,2019,0,0,montreal-lachine,montreal,4,2,https://www.centris.ca/en/condominium-houses~for-sale~montreal-lachine/16978186?view=Summary
22301485,House for sale,649000,1920,3,0,montreal-lachine,montreal,4,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/22301485?view=Summary
14469755,House for sale,439000,1989,0,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/14469755?view=Summary
14305700,House for sale,299000,1911,1,0,montreal-lachine,montreal,2,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/14305700?view=Summary
20969505,House for sale,350000,1952,1,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/20969505?view=Summary
24450722,House for sale,689000,1937,5,0,montreal-lachine,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/24450722?view=Summary
15267078,House for sale,619000,1920,0,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/15267078?view=Summary
18361827,House for sale,610000,1947,0,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/18361827?view=Summary
20772123,House for sale,759000,1952,5,0,montreal-lachine,montreal,5,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/20772123?view=Summary
23579482,House for sale,349900,1910,1,0,montreal-lachine,montreal,2,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/23579482?view=Summary
11472002,House for sale,324000,1930,0,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/11472002?view=Summary
15297661,House for sale,729000,1950,5,0,montreal-lachine,montreal,4,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/15297661?view=Summary
10192030,House for sale,574900,1987,3,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/10192030?view=Summary
27930485,House for sale,409000,1949,2,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/27930485?view=Summary
18732546,House for sale,524000,1952,5,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/18732546?view=Summary
28352194,House for sale,1285000,2020,0,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/28352194?view=Summary
9533282,House for sale,619000,1967,5,0,montreal-lachine,montreal,6,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/9533282?view=Summary
18657075,House for sale,589000,1936,3,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/18657075?view=Summary
11347247,House for sale,798000,1964,5,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/11347247?view=Summary
17376995,House for sale,529900,1958,4,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/17376995?view=Summary
