centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
26177012,Condo for sale,195000,2007,0,1,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/26177012?view=Summary&uc=1
21702436,Condo for sale,255000,2016,0,1,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/21702436?view=Summary&uc=1
19968714,Condo for sale,134900,1987,0,787,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/19968714?view=Summary&uc=1
26819240,Condo for sale,129900,1992,0,787,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/26819240?view=Summary&uc=1
15909212,Condominium house for sale,269000,1989,1,0,chateauguay,montreal,3,2,https://www.centris.ca/en/condominium-houses~for-sale~chateauguay/15909212?view=Summary&uc=1
24016121,Condo for sale,269900,2016,0,1,chateauguay,montreal,3,2,https://www.centris.ca/en/condos~for-sale~chateauguay/24016121?view=Summary&uc=1
16641289,Condo for sale,199000,2009,0,982,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/16641289?view=Summary&uc=1
27111527,Condo for sale,245000,2006,0,950,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/27111527?view=Summary&uc=1
17914927,Condo for sale,189000,2008,0,865,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/17914927?view=Summary&uc=1
