centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
22667471,Income properties for sale,"$5,800,000",3410, Rue Victoria,"Lat:45.4383630000, Lon:-73.6946470000",,,,,1967,"14,018 sqft",,https://www.centris.ca/en/multi-family-properties~for-sale~montreal-lachine/22667471?view=Summary
12572013,Duplex for sale,"$869,000",550 - 552, 19e Avenue,"Lat:45.4388420000, Lon:-73.6810210000",,,,Detached,1944,"4,760 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/12572013?view=Summary
28314737,Triplex for sale,"$525,000",53 - 57, Avenue du Chalet,"Lat:45.4453730000, Lon:-73.6478270000",,,,Semi-detached,1955,"2,922 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/28314737?view=Summary
19464931,Triplex for sale,"$694,000",2931 - 2935, Rue Sherbrooke,"Lat:45.4446530000, Lon:-73.6902250000",,,,Semi-detached,1964,"3,080 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/19464931?view=Summary
20060247,Commercial building for sale,"$849,900",1380 - 1390, Rue Notre-Dame,"Lat:45.4350713800, Lon:-73.6761999100",,,,,1860,"5,197 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-lachine/20060247?view=Summary
19689469,Business for sale,"$200,000",Rue Non Disponible-Unavailable, Montréal (Lachine),"Lat:45.4378524900, Lon:-73.6887318800",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lachine/19689469?view=Summary
12110146,Quadruplex for sale,"$1,189,000",550 - 556, 6e Avenue,"Lat:45.4395054800, Lon:-73.6691138500",,,,Detached,1973,"4,688 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lachine/12110146?view=Summary
27457436,Quadruplex for sale,"$750,000",54, Avenue Rolland,"Lat:45.4454160900, Lon:-73.6537149500",,,,Detached,Unknown age,,,https://www.centris.ca/en/4plex~for-sale~montreal-lachine/27457436?view=Summary
12836344,Duplex for sale,"$399,000",135 - 137, 11e Avenue,"Lat:45.4341934600, Lon:-73.6737226600",,,,Detached,1920,"2,819 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/12836344?view=Summary
14735958,Quadruplex for sale,"$550,000",1000 - 1040, Rue Saint-Louis,"Lat:45.4337050000, Lon:-73.6728260000",,,,Detached,1860,"4,899 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lachine/14735958?view=Summary
12181828,Triplex for sale,"$1,100,000",1125 - 1127, Rue Notre-Dame,"Lat:45.4347380000, Lon:-73.6738600000",,,,Semi-detached,1940,"7,471 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/12181828?view=Summary
24021517,Duplex for sale,"$645,000",459 - 461, 18e Avenue,"Lat:45.4372040000, Lon:-73.6803650000",,,,Attached,1914,"2,080 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/24021517?view=Summary
15957365,Commercial building for sale,"$2,100,000",845 - 855, Rue Notre-Dame,"Lat:45.4347540000, Lon:-73.6713000000",,,,,"1920, Being converted","7,010 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-lachine/15957365?view=Summary
20868320,Lot for sale,"$1,100,000",1125Z, Rue Notre-Dame,"Lat:45.4347380000, Lon:-73.6738600000",,,,,,"7,471 sqft",,https://www.centris.ca/en/lots~for-sale~montreal-lachine/20868320?view=Summary
27791543,Duplex for sale,"$399,000",9 - 11, Avenue Rolland,"Lat:45.4450060000, Lon:-73.6522430000",,,,Detached,1954,,,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/27791543?view=Summary
28864577,Duplex for sale,"$655,000",5520 - 5530, Rue Sir-George-Simpson,"Lat:45.4478493500, Lon:-73.7211296600",,,,Semi-detached,1967,,,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/28864577?view=Summary
26915701,Duplex for sale,"$741,700",671 - 673, Avenue George-V,"Lat:45.4415720000, Lon:-73.6637550000",,,,Detached,1994,"6,000 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/26915701?view=Summary
26475369,Duplex for sale,"$599,000",454 - 456, 6e Avenue,"Lat:45.4387124100, Lon:-73.6691691100",,,,Attached,1965,"1,875 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/26475369?view=Summary
22078813,Lot for sale,"$999,000",12e Avenue, Montréal (Lachine),"Lat:45.4346633500, Lon:-73.6745203700",,,,,,"5,400 sqft",,https://www.centris.ca/en/lots~for-sale~montreal-lachine/22078813?view=Summary
20425141,Triplex for sale,"$599,000",144 - 148, Avenue Duranceau,"Lat:45.4462050000, Lon:-73.6488470000",,,,Semi-detached,1909,"2,340 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/20425141?view=Summary
25971217,Triplex for sale,"$749,000",123 - 127, 11e Avenue,"Lat:45.4339850000, Lon:-73.6737520000",,,,Semi-detached,1945,"5,874 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/25971217?view=Summary
9884852,Quadruplex for sale,"$995,000",290, 14e Avenue,"Lat:45.4356600000, Lon:-73.6762330000",,,,Semi-detached,1964,"5,057 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lachine/9884852?view=Summary
25779046,Income properties for sale,"$225,000",47, 16e Avenue,"Lat:45.4332540000, Lon:-73.6789020000",,,,,1900,"3,662 sqft",,https://www.centris.ca/en/multi-family-properties~for-sale~montreal-lachine/25779046?view=Summary
16630852,Industrial building for sale,"$3,200,000",2139 - 2175, 46e Avenue,"Lat:45.4604760000, Lon:-73.7177540000",,,,,1988,"49,327 sqft",,https://www.centris.ca/en/industrial-buildings~for-sale~montreal-lachine/16630852?view=Summary
12992055,Duplex for sale,"$499,000",141 - 143, Avenue Hillcrest,"Lat:45.4496897300, Lon:-73.6509229200",,,,Semi-detached,1927,"2,300 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/12992055?view=Summary
15138871,Duplex for sale,"$379,000",664 - 668, 10e Avenue,"Lat:45.4413363800, Lon:-73.6727670300",,,,Attached,1930,"2,250 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/15138871?view=Summary
22128155,Commercial building for sale,"$379,000",660A - 670A, Rue Provost,"Lat:45.4421570000, Lon:-73.6700130000",,,,,1910,"3,750 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-lachine/22128155?view=Summary
22289543,Duplex for sale,"$1,099,000",382 - 384, 32e Avenue,"Lat:45.4368694500, Lon:-73.6923599500",,,,Detached,1966,"3,638 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/22289543?view=Summary
15556087,Quadruplex for sale,"$759,000",146 - 152, Avenue Saint-Pierre,"Lat:45.4446330000, Lon:-73.6512550000",,,,Attached,Unknown age,"4,325 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lachine/15556087?view=Summary
26190463,Duplex for sale,"$589,000",835 - 839, 12e Avenue,"Lat:45.4452376500, Lon:-73.6750247800",,,,Detached,1939,"2,250 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/26190463?view=Summary
12413269,Triplex for sale,"$749,900",733 - 737, 26e Avenue,"Lat:45.4430180000, Lon:-73.6878160000",,,,Semi-detached,1965,"4,131 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/12413269?view=Summary
13315300,Quadruplex for sale,"$939,000",2615 - 2621, Croissant de Holon,"Lat:45.4393115400, Lon:-73.6881758300",,,,Semi-detached,1978,,,https://www.centris.ca/en/4plex~for-sale~montreal-lachine/13315300?view=Summary
13026488,Commercial building for sale,"$1,700,000",Rue Non Disponible-Unavailable, Montréal (Lachine),"Lat:45.4364030000, Lon:-73.6972650000",,,,,1993,"6,745 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-lachine/13026488?view=Summary
