centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
26574781,Duplex for sale,"$1,268,000",2200 - 2202, Chemin Rockland,"Lat:45.5260810000, Lon:-73.6479370000",,,,Semi-detached,1956,"4,440 sqft",,https://www.centris.ca/en/duplexes~for-sale~mont-royal/26574781?view=Summary
11962326,Business for sale,"$45,000",1771, boulevard Graham,"Lat:45.5148968600, Lon:-73.6453390300",,,,,,,,https://www.centris.ca/en/businesses~for-sale~mont-royal/11962326?view=Summary
22649594,Business for sale,"$79,900",1383, Chemin Canora,"Lat:45.5171980000, Lon:-73.6441920000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~mont-royal/22649594?view=Summary
26888297,Business for sale,"$195,000",5453, Avenue Royalmount,"Lat:45.4968990000, Lon:-73.6631190000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~mont-royal/26888297?view=Summary
28774421,Business for sale,"$175,000",5475, Avenue Royalmount,"Lat:45.4964090000, Lon:-73.6637490000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~mont-royal/28774421?view=Summary
13147263,Duplex for sale,"$1,289,000",301 - 309, Avenue Revere,"Lat:45.5263841000, Lon:-73.6463815100",,,,Semi-detached,1960,"4,976 sqft",,https://www.centris.ca/en/duplexes~for-sale~mont-royal/13147263?view=Summary
15330979,Duplex for sale,"$1,575,000",151 - 153, Avenue Kindersley,"Lat:45.5139570000, Lon:-73.6469910000",,,,Semi-detached,1960,"4,158 sqft",,https://www.centris.ca/en/duplexes~for-sale~mont-royal/15330979?view=Summary
