centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
19721588,House for sale,"$350,000",104, Rue Fresnel,"Lat:45.3619983900, Lon:-73.7114709000",4 bedrooms (1 in basement),2 bathrooms,,"Bungalow, Detached",2009,"7,423 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/19721588?view=Summary&uc=1
21014922,House for sale,"$289,900",159, Rue Réal,"Lat:45.3475880000, Lon:-73.7292410000",7 bedrooms (4 in basement),2 bathrooms,,"Bungalow, Detached",1960,"5,193 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/21014922?view=Summary&uc=1
20403673,House for sale,"$319,900",22, boulevard Deguire,"Lat:45.3611220000, Lon:-73.7578260000",4 bedrooms (1 in basement),2 bathrooms,,"Bungalow, Detached",1965,"6,400 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/20403673?view=Summary&uc=1
12405510,House for sale,"$364,000",204, boulevard Rameau,"Lat:45.3490660000, Lon:-73.7172740000",4 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Detached",1987,"4,800 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/12405510?view=Summary&uc=1
23424134,House for sale,"$1,899,000",133, Rue des Chênes,"Lat:45.3756385100, Lon:-73.7205108700",7 bedrooms (2 in basement),5 bathrooms and 2 powder rooms,5 bathrooms and 2 powder rooms,"Two or more storey, Detached",2010,"18,573 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/23424134?view=Summary&uc=1
22090924,House for sale,"$639,900",112, Chemin des Hauts Boisés,"Lat:45.3751030000, Lon:-73.7217830000",4 bedrooms (1 in basement),2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",2011,,,https://www.centris.ca/en/houses~for-sale~chateauguay/22090924?view=Summary&uc=1
19684964,House for sale,"$379,000",64, boulevard Salaberry Nord,"Lat:45.3685027100, Lon:-73.7509590200",4 bedrooms,2 bathrooms and 2 powder rooms,2 bathrooms and 2 powder rooms,"Two or more storey, Semi-detached","1780, Century","24,894 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/19684964?view=Summary&uc=1
28516064,House for sale,"$250,000",46, boulevard Salaberry Nord,"Lat:45.3676522000, Lon:-73.7504696900",3 bedrooms,2 bathrooms,,"Two or more storey, Detached",1940,"5,722 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/28516064?view=Summary&uc=1
25161193,House for sale,"$634,900",633, Chemin de la Haute-Rivière,"Lat:45.3175585200, Lon:-73.7938220600",5 bedrooms (1 in basement),2 bathrooms,,"Two or more storey, Detached",1981,"35,060 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/25161193?view=Summary&uc=1
27526237,House for sale,"$169,900",35, Rue Duranceau,"Lat:45.3775803600, Lon:-73.7566635000",3 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Detached",1940,"6,300 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/27526237?view=Summary&uc=1
23824445,House for sale,"$435,500",48 - A, Rue Sunset Est,"Lat:45.3533860000, Lon:-73.7110630000",4 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Detached","To be built, New","4,341 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/23824445?view=Summary&uc=1
17556100,House for sale,"$250,000",93, Rue Gilmour,"Lat:45.3764240000, Lon:-73.7390310000",3 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Detached",1936,"9,656 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/17556100?view=Summary&uc=1
24970757,House for sale,"$599,000",73, boulevard D'Youville,"Lat:45.3647000000, Lon:-73.7541810000",3 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Detached",1988,"12,108 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/24970757?view=Summary&uc=1
16972563,House for sale,"$475,000",107, Rue de Liège,"Lat:45.3573221200, Lon:-73.7321344200",5 bedrooms (1 in basement),2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",2009,"4,204 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/16972563?view=Summary&uc=1
14775438,House for sale,"$429,000",31, Rue Ashmore,"Lat:45.3726210000, Lon:-73.7461410000",4 bedrooms (1 in basement),2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",1994,"7,615 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/14775438?view=Summary&uc=1
15471848,House for sale,"$350,000",119, Rue Hillsdale Ouest,"Lat:45.3499811200, Lon:-73.7260172500",5 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Detached",1960,"5,400 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/15471848?view=Summary&uc=1
15326743,House for sale,"$328,800",3, boulevard D'Anjou,"Lat:45.3619684100, Lon:-73.7442308300",4 bedrooms (1 in basement),1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Detached",1920,"3,785 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/15326743?view=Summary&uc=1
26910145,House for sale,"$289,900",121, Rue de Chapais,"Lat:45.3583010000, Lon:-73.7318010000",2 bedrooms,2 bathrooms,,"Bungalow, Detached",1967,"5,123 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/26910145?view=Summary&uc=1
27368913,House for sale,"$279,000",174, Rue Goyer,"Lat:45.3485711800, Lon:-73.7310483200",4 bedrooms (1 in basement),2 bathrooms,,"Bungalow, Detached",1965,"6,903 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/27368913?view=Summary&uc=1
