centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
19329985,Triplex for sale,"$650,000",449A - 451, Rue de Newport,"Lat:45.4216720000, Lon:-73.6432700000",,,,Semi-detached,1961,"3,400 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/19329985?view=Summary
23985288,Duplex for sale,"$729,000",7737 - 7739, Rue Édouard,"Lat:45.4281995300, Lon:-73.5954620700",,,,Detached,1947,"4,183 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/23985288?view=Summary
18681957,Duplex for sale,"$749,000",301 - 303, 6e Avenue,"Lat:45.4310930000, Lon:-73.6022150000",,,,Attached,1951,"2,168 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/18681957?view=Summary
21895783,Quintuplex for sale,"$789,000",1472 - 1478, Rue John-F.-Kennedy,"Lat:45.4258844700, Lon:-73.6289564000",,,,Semi-detached,1968,"4,067 sqft",,https://www.centris.ca/en/5plex~for-sale~montreal-lasalle/21895783?view=Summary
10857951,Triplex for sale,"$795,000",1410 - 1412A, Rue Lapierre,"Lat:45.4356868600, Lon:-73.6084236300",,,,Attached,1981,,,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/10857951?view=Summary
22882786,Triplex for sale,"$768,000",571 - 575, 43e Avenue,"Lat:45.4173710000, Lon:-73.6181450000",,,,Semi-detached,1960,"2,972 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/22882786?view=Summary
9937953,Business for sale,"$1,100,000",Rue Non Disponible-Unavailable, Montréal (LaSalle),"Lat:45.4384440900, Lon:-73.5799352500",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lasalle/9937953?view=Summary
12069542,Duplex for sale,"$599,500",9498 - 9500, Rue Centrale,"Lat:45.4208468800, Lon:-73.6476331700",,,,Semi-detached,1963,,,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/12069542?view=Summary
27325641,Quadruplex for sale,"$675,000",419 - 425, Rue Comte,"Lat:45.4312090000, Lon:-73.6415370000",,,,Detached,1955,"5,243 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lasalle/27325641?view=Summary
15688249,Duplex for sale,"$629,000",296 - 298, 2e Avenue,"Lat:45.4329610000, Lon:-73.5993610000",,,,Semi-detached,1963,"3,116 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/15688249?view=Summary
28874030,Duplex for sale,"$725,000",9000 - 9002, Rue Boivin,"Lat:45.4212200000, Lon:-73.6309000000",,,,Attached,1965,"2,785 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/28874030?view=Summary
16108381,Quadruplex for sale,"$999,000",7 - 7C, 63e Avenue,"Lat:45.4158060000, Lon:-73.6209450000",,,,Detached,1936,"5,702 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lasalle/16108381?view=Summary
22021672,Business for sale,"$84,900",7754, Rue George,"Lat:45.4292210000, Lon:-73.6051460000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lasalle/22021672?view=Summary
10575495,Business for sale,"$199,000",7573, boulevard Newman,"Lat:45.4395440000, Lon:-73.6222230000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lasalle/10575495?view=Summary
20270785,Duplex for sale,"$775,000",2160 - 2162, Rue Préville,"Lat:45.4338400000, Lon:-73.6318660000",,,,Attached,1965,,,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/20270785?view=Summary
13301791,Triplex for sale,"$749,000",661 - 665, 44e Avenue,"Lat:45.4182540000, Lon:-73.6201940000",,,,Semi-detached,1962,"3,866 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/13301791?view=Summary
22602642,Triplex for sale,"$998,000",85 - 87, Avenue Lafleur,"Lat:45.4232100000, Lon:-73.6502920000",,,,Detached,1940,"4,594 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/22602642?view=Summary
11272053,Business for sale,"$299,000",Rue Non Disponible-Unavailable, Montréal (LaSalle),"Lat:45.4407673300, Lon:-73.6024013000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lasalle/11272053?view=Summary
15827030,Duplex for sale,"$650,000",1502A - 1504, Rue Hébert,"Lat:45.4349800000, Lon:-73.6100160000",,,,Semi-detached,1980,"4,171 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/15827030?view=Summary
21999969,Triplex for sale,"$839,000",945 - 947, Rue Tittley,"Lat:45.4240630000, Lon:-73.6272260000",,,,Semi-detached,1975,"3,330 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/21999969?view=Summary
25992462,Duplex for sale,"$889,900",602 - 604, boulevard Bishop-Power,"Lat:45.4271300000, Lon:-73.6028510000",,,,Semi-detached,1964,"3,466 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/25992462?view=Summary
25631349,Duplex for sale,"$709,000",9063 - 9065, Rue de Beauport,"Lat:45.4225760000, Lon:-73.6322740000",,,,Semi-detached,1966,"3,396 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/25631349?view=Summary
23540873,Quadruplex for sale,"$995,000",7991A - 7995, Rue Lefebvre,"Lat:45.4350448000, Lon:-73.6236343000",,,,Semi-detached,1969,"3,568 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lasalle/23540873?view=Summary
14587770,Quadruplex for sale,"$875,000",17A - 17D, Avenue Riverview,"Lat:45.4275870000, Lon:-73.6601690000",,,,Detached,1968,"4,800 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lasalle/14587770?view=Summary
21597648,Duplex for sale,"$679,000",8632 - 8634, Avenue des Rapides,"Lat:45.4162330000, Lon:-73.6190010000",,,,Semi-detached,1961,"3,330 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/21597648?view=Summary
18743324,Lot for sale,"$539,000",7760, boulevard Newman,"Lat:45.4375141700, Lon:-73.6237210000",,,,,,"10,314 sqft",,https://www.centris.ca/en/lots~for-sale~montreal-lasalle/18743324?view=Summary
