small region,bedroom,year,avg_price,total
 Loyola,3,30 more,458633.3333333333,3
 Loyola,4,30 more,399000.0,1
 Maisonneuve,-1,20 less,299000.0,1
 Maisonneuve,-1,30 more,253100.0,10
 Marc-Aurèle-Fortin,2,30 less,249000.0,1
 Marc-Aurèle-Fortin,2,30 more,239350.0,2
 Marc-Aurèle-Fortin,2,5 less,489000.0,1
 Marc-Aurèle-Fortin,3,20 less,176000.0,1
 Marc-Aurèle-Fortin,3,30 more,479900.0,1
 Marie-Victorin,-1,30 more,289000.0,1
 Marie-Victorin,2,10 less,422450.0,2
 Marie-Victorin,2,30 less,599000.0,1
 Mile End,-1,20 less,550000.0,1
 Mile End,-1,30 less,514000.0,1
 Mile End,-1,30 more,825000.0,1
 Mile End,2,30 less,447000.0,2
 Mile End,2,30 more,499000.0,1
 Mile End,3,30 more,890000.0,2
 Milton Parc,-1,5 less,505000.0,1
 Milton Parc,2,30 more,539000.0,1
 Milton Parc,2,5 less,468000.0,1
 Milton-Parc,-1,30 more,289000.0,1
 Milton-Parc,2,30 more,519000.0,1
 Milton-Parc,3,30 more,586750.0,2
 Mont-Royal,-1,10 less,595000.0,1
 Mont-Royal,-1,30 more,360000.0,1
 Mont-Royal,2,30 more,429000.0,1
 Mont-Royal,3,20 less,699000.0,1
 Montagne,-1,10 less,399237.5,4
 Montagne,-1,30 less,369000.0,1
 Montagne,-1,30 more,348687.25,4
 Montagne,-1,5 less,488900.0,1
 Montagne,2,10 less,1055671.4285714286,7
 Montagne,2,20 less,1103250.0,4
 Montagne,2,30 less,507000.0,2
 Montagne,2,30 more,925916.6666666666,12
 Montagne,2,5 less,698000.0,1
 Montagne,3,30 more,2381660.0,10
 Montagne,3,5 less,1098000.0,1
 Montagne,4,30 more,2439000.0,2
 Montagne,5,30 more,649000.0,2
 Montagne,6,30 more,1450000.0,1
 Montreal-Nord-Centre,-1,10 less,139000.0,1
 Montreal-Nord-Centre,2,20 less,197500.0,1
 Montreal-Nord-Ouest,2,20 less,359000.0,1
 Montréal,-1,30 more,423016.6666666667,3
 Montréal,-1,5 less,294800.0,6
 Montréal,2,10 less,302000.0,2
 Montréal,2,30 more,389000.0,2
 Montréal,2,5 less,504249.75,4
 Montréal,3,20 less,664000.0,1
 Montréal,3,30 less,419000.0,1
 Montréal,3,5 less,369000.0,1
 Montréal (06),2,10 less,374000.0,1
 Montréal-Est,2,5 less,458000.0,1
 Nicolas-Viel,-1,30 more,284900.0,1
 Nicolas-Viel,2,30 more,364120.0,5
 Nicolas-Viel,3,30 more,434900.0,1
 Nouveau-Bordeau,2,10 less,342450.0,2
 Nouveau-Bordeau,2,5 less,359000.0,1
 Outremont,-1,30 more,429000.0,1
 Outremont,2,30 more,1213366.0,5
 Outremont,3,30 more,2176110.5454545454,11
 Outremont,4,20 less,1189000.0,1
 Outremont,4,30 more,674500.0,2
 Outremont,5,30 more,885000.0,1
 Parc-Jarry,-1,10 less,515000.0,1
 Parc-Jarry,-1,30 more,419000.0,1
 Parc-Jarry,-1,5 less,352381.0,1
 Parc-Jarry,2,20 less,501950.0,2
 Parc-Jarry,2,5 less,849000.0,1
 Parc-Jarry,3,10 less,824000.0,1
 Parc-Kent,-1,5 less,349000.0,1
 Parc-Kent,2,10 less,560000.0,1
 Parc-Kent,2,30 more,679000.0,1
 Parc-Kent,2,5 less,770000.0,2
 Parc-Kent,3,30 less,1249000.0,1
 Parc-Kent,3,30 more,1100000.0,1
 Parc-Kent,5,20 less,1074000.0,2
 Parc-Lafontaine,-1,30 more,273500.0,2
 Parc-Lafontaine,2,30 more,566500.0,2
 Parc-Lafontaine,2,5 less,699000.0,1
 Parc-Lafontaine,3,30 more,704000.0,2
 Parc-Laurier,-1,10 less,448000.0,3
 Parc-Laurier,-1,30 more,339500.0,2
 Parc-Laurier,2,20 less,532000.0,2
 Parc-Laurier,2,30 more,479333.3333333333,3
 Petit Portugal,-1,5 less,299900.0,1
 Petit Portugal,2,20 less,738000.0,1
 Petit Portugal,2,30 less,480000.0,1
 Petit Portugal,3,30 more,399000.0,1
 Petite Italie,-1,30 more,409000.0,1
 Petite Italie,3,20 less,799000.0,1
 Petite Italie,3,30 more,799000.0,1
 Petite-Bourgogne,-1,20 less,540000.0,1
 Petite-Bourgogne,-1,30 more,353500.0,1
 Petite-Bourgogne,2,20 less,449800.0,1
 Petite-Bourgogne,2,30 more,522750.0,2
 Petite-Bourgogne,3,20 less,659000.0,1
 Petite-Côte,-1,30 more,349800.0,1
 Petite-Côte,2,30 less,515000.0,1
 Petite-Côte,2,30 more,430900.0,1
 Petite-Côte,2,5 less,775000.0,1
 Petite-Côte,3,20 less,729700.0,1
 Petite-Côte,4,30 more,549800.0,1
 Petite-Côte,5,20 less,1197700.0,1
 Pierrefonds-Est/Roxboro,-1,10 less,229000.0,1
 Pierrefonds-Est/Roxboro,2,20 less,324950.0,2
 Pierrefonds-Est/Roxboro,2,30 less,334150.0,2
 Pierrefonds-Est/Roxboro,2,30 more,230000.0,1
 Pierrefonds-Est/Roxboro,3,30 more,334707.5,4
 Pierrefonds-Ouest,2,10 less,219000.0,1
 Pierrefonds-Ouest,2,20 less,199900.0,1
 Pierrefonds-Ouest,2,30 less,259450.0,2
 Pierrefonds-Ouest,3,20 less,309000.0,1
 Pierrefonds-Ouest,3,30 less,269900.0,1
 Pierrefonds-Ouest,3,30 more,541000.0,1
 Pierrefonds-Ouest,4,30 more,456000.0,1
 Plateau Mont-Royal,3,30 more,711966.6666666666,3
 Plateau Mont-Royal,3,5 less,1112000.0,2
 Plaza Saint-Hubert,-1,30 less,350000.0,1
 Plaza Saint-Hubert,2,30 more,435000.0,1
 Pointe-Claire,2,10 less,419000.0,1
 Pointe-Claire,2,20 less,469900.0,1
 Pointe-Saint-Charles,-1,20 less,599000.0,1
 Pointe-Saint-Charles,-1,30 more,749000.0,1
 Pointe-Saint-Charles,-1,5 less,615000.0,1
 Pointe-Saint-Charles,2,10 less,399000.0,1
 Pointe-Saint-Charles,2,20 less,308666.6666666667,3
 Pointe-Saint-Charles,2,30 more,499000.0,2
 Pointe-Saint-Charles,3,10 less,579000.0,1
 Pointe-Saint-Charles,3,30 more,580611.0,3
 Pointe-Saint-Charles,3,5 less,1450000.0,1
 Pointe-aux-Trembles,-1,30 more,147000.0,1
 Pointe-aux-Trembles,2,20 less,250000.0,1
 Pointe-aux-Trembles,2,30 more,154900.0,1
 Pointe-aux-Trembles,3,30 more,186000.0,1
 Port-Maurice,-1,20 less,324000.0,1
 Port-Maurice,2,20 less,339000.0,1
 Port-Maurice,3,20 less,358000.0,1
 Prince-Arthur,-1,30 more,359000.0,1
 Prince-Arthur,2,30 more,1179000.0,1
 Promenade Ontario,2,10 less,296500.0,2
 Promenade Sainte-Catherine Est,-1,30 more,99500.0,2
 Promenade Sainte-Catherine Est,2,10 less,349900.0,1
 Promenade Sainte-Catherine Est,2,30 more,389500.0,1
 Promenade Sainte-Catherine Est,3,10 less,419000.0,1
 Promenade Sainte-Catherine Est,3,20 less,299999.0,1
 Promenade Sainte-Catherine Est,3,5 less,495000.0,1
 Préfontaine,2,20 less,403000.0,1
 Préfontaine,3,10 less,389000.0,1
 Père-Marquette,2,10 less,510000.0,1
 Père-Marquette,2,30 more,405110.0,3
 Père-Marquette,3,5 less,497000.0,1
 Quartier Latin,-1,20 less,463000.0,1
 Quartier Latin,-1,30 more,430000.0,1
 Quartier international,-1,10 less,579000.0,1
 Quartier international,-1,30 more,485140.1666666667,6
 Quartier international,2,10 less,759000.0,1
 Quartier international,2,20 less,750000.0,1
 Quartier international,2,30 more,2032466.6666666667,6
 Quartier international,3,10 less,3499000.0,1
 Quartier international,3,30 more,3191975.0,4
 René-Lévesque,-1,10 less,433642.85714285716,14
 René-Lévesque,-1,20 less,340600.0,5
 René-Lévesque,-1,30 less,369000.0,1
 René-Lévesque,-1,30 more,432857.14285714284,7
 René-Lévesque,-1,5 less,486520.07692307694,26
 René-Lévesque,2,10 less,832500.0,12
 René-Lévesque,2,30 more,631272.5,8
 René-Lévesque,2,5 less,828077.1621621621,37
 René-Lévesque,3,20 less,2979000.0,1
 René-Lévesque,3,30 more,1741406.5,6
 René-Lévesque,3,5 less,1423987.5,8
 Rivière-des-Prairies,-1,30 less,174900.0,1
 Rivière-des-Prairies,2,20 less,190500.0,1
 Rivière-des-Prairies,3,30 less,374500.0,1
 Rivière-des-Prairies–Pointe-aux-Trembles,-1,30 less,149900.0,2
 Rivière-des-Prairies–Pointe-aux-Trembles,2,10 less,229450.0,2
 Rivière-des-Prairies–Pointe-aux-Trembles,2,20 less,195566.66666666666,3
 Rivière-des-Prairies–Pointe-aux-Trembles,2,30 less,269900.0,1
 Rivière-des-Prairies–Pointe-aux-Trembles,2,30 more,269175.0,4
 Rivière-des-Prairies–Pointe-aux-Trembles,3,30 more,420566.6666666667,3
 Rosemont–La Petite-Patrie,2,30 more,322900.0,1
 Rue Dorion,3,30 more,469500.0,1
 Rue du Port de Montréal,-1,30 more,655000.0,1
 Saint-Henri,-1,20 less,411000.0,1
 Saint-Henri,2,10 less,345000.0,1
 Saint-Henri,2,20 less,488666.6666666667,3
 Saint-Henri,2,30 more,604883.0,2
 Saint-Henri,3,30 more,877358.0,2
 Saint-Henri,4,30 more,474900.0,1
 Saint-Laurent,2,20 less,398950.0,2
 Saint-Laurent,2,30 more,352900.0,1
 Saint-Laurent,2,5 less,549000.0,1
 Saint-Laurent,3,30 more,424900.0,1
 Saint-Louis,-1,10 less,600000.0,1
 Saint-Louis,-1,30 less,349000.0,1
 Saint-Louis,2,20 less,689000.0,1
 Saint-Louis,2,30 more,395000.0,1
 Saint-Louis,3,30 more,544000.0,2
 Saint-Léonard,2,10 less,439000.0,1
 Saint-Léonard,3,20 less,749000.0,1
 Saint-Michel,2,20 less,199000.0,1
 Saint-Simon,-1,30 more,399999.0,1
 Saint-Simon,4,30 more,709000.0,1
 Saint-Sulpice,2,5 less,329000.0,1
 Saint-Édouard,-1,30 more,289000.0,1
 Saint-Édouard,2,10 less,707000.0,2
 Saint-Édouard,2,30 more,429000.0,1
 Saint-Édouard,3,30 more,593500.0,6
 Sainte-Anne-de-Bellevue,3,30 less,539000.0,1
 Sainte-Anne-de-Bellevue,4,30 less,550000.0,1
 Sainte-Lucie,3,10 less,350000.0,1
 Sainte-Marie,-1,30 less,299000.0,1
 Sainte-Marie,-1,30 more,299600.0,3
 Sainte-Marie,-1,5 less,390750.0,4
 Sainte-Marie,2,10 less,473950.0,2
 Sainte-Marie,2,20 less,559000.0,1
 Sainte-Marie,2,30 less,365000.0,1
 Sainte-Marie,2,30 more,354000.0,2
 Sainte-Marie,2,5 less,482000.0,1
 Sainte-Marie,3,30 more,429000.0,1
 Sault-Saint-Louis,-1,30 less,244500.0,2
 Sault-Saint-Louis,-1,30 more,170000.0,1
 Sault-Saint-Louis,2,20 less,424000.0,2
 Sault-Saint-Louis,2,30 less,369000.0,2
 Sault-Saint-Louis,3,20 less,469000.0,1
 Sault-Saint-Louis,3,30 less,499000.0,1
 Sault-Saint-Louis,3,30 more,439000.0,2
 Sault-Saint-Louis,3,5 less,500000.0,1
 Sault-aux-Récollets,-1,20 less,209900.0,1
 Savane,-1,5 less,348475.0,4
 Savane,2,10 less,411000.0,3
 Savane,2,5 less,536000.0,3
 Savane,3,10 less,560600.0,3
 Savane,3,5 less,738000.0,1
 Snowdon,-1,30 more,368170.5,2
 Snowdon,2,10 less,795000.0,1
 Snowdon,2,30 more,481500.0,2
 Snowdon,2,5 less,379000.0,1
 Snowdon,3,30 more,762000.0,2
 Snowdon,4,30 more,577000.0,2
 Technopôle Angus,-1,5 less,309000.0,1
 Tétraultville,3,30 more,449900.0,1
 Upper Lachine,2,30 more,289000.0,1
 Upper Lachine,2,5 less,399000.0,1
 Upper Lachine,3,30 more,449000.0,1
 Upper Lachine,6,30 more,499000.0,1
 Verdun,-1,30 more,294500.0,2
 Verdun,2,30 more,400000.0,1
 Verdun,3,30 more,692333.3333333334,3
 Verdun,4,30 more,608500.0,1
 Verdun-Centre,-1,5 less,299900.0,1
 Verdun-Centre,2,30 more,457666.6666666667,3
 Verdun-Centre,3,10 less,637666.6666666666,3
 Verdun-Centre,3,20 less,525000.0,1
 Verdun-Centre,3,30 more,439000.0,1
 Verdun-Centre,3,5 less,809000.0,2
 Vieux-Lachine,-1,10 less,241000.0,3
 Vieux-Lachine,-1,30 more,269450.0,2
 Vieux-Lachine,2,10 less,374499.0,2
 Vieux-Lachine,2,30 more,381577.77777777775,9
 Vieux-Lachine,3,30 more,517900.0,1
