small region,bedroom,year,avg_price,total
saint-lambert-monteregie,2,20 less,429000.0,1
saint-lambert-monteregie,2,30 less,429000.0,1
saint-lambert-monteregie,2,30 more,789000.0,1
saint-lambert-monteregie,3,30 less,385000.0,2
saint-lambert-monteregie,3,30 more,794100.0,8
saint-lambert-monteregie,4,20 less,719000.0,1
saint-lambert-monteregie,4,30 more,842768.1818181818,22
saint-lambert-monteregie,5,30 less,1289000.0,1
saint-lambert-monteregie,5,30 more,1011985.7142857143,7
saint-lambert-monteregie,6,30 more,941000.0,3
saint-lambert-monteregie,7,30 more,1400000.0,1
saint-lambert-monteregie,8,30 more,1375000.0,1
