small region,bedroom,year,avg_price,total
mont-royal,3,30 less,1234000.0,2
mont-royal,3,30 more,1253985.7142857143,7
mont-royal,4,30 more,1553641.1764705882,17
mont-royal,5,30 more,2309187.5,16
mont-royal,6,30 more,2364833.3333333335,6
mont-royal,7,30 more,4950000.0,1
mont-royal,8,30 more,3200000.0,1
