small region,bedroom,year,avg_price,total
chateauguay,-1,30 more,375000.0,1
chateauguay,2,10 less,429000.0,1
chateauguay,2,20 less,295000.0,1
chateauguay,2,30 more,129000.0,1
chateauguay,3,20 less,379500.0,3
chateauguay,3,30 less,664500.0,2
chateauguay,3,30 more,280080.0,15
chateauguay,3,5 less,558000.0,1
chateauguay,4,10 less,552000.0,2
chateauguay,4,20 less,580500.0,1
chateauguay,4,30 less,449450.0,2
chateauguay,4,30 more,355627.2727272727,11
chateauguay,5,10 less,439000.0,1
chateauguay,5,20 less,489950.0,2
chateauguay,5,30 more,235475.0,4
chateauguay,6,10 less,889000.0,1
