small region,bedroom,year,avg_price,total
 Rivière-des-Prairies,3,30 less,369475.0,4
 Rivière-des-Prairies,3,30 more,387758.0,4
 Rivière-des-Prairies,4,30 more,433666.6666666667,9
 Rivière-des-Prairies,5,20 less,769000.0,1
 Rivière-des-Prairies,5,30 more,425000.0,1
 Rivière-des-Prairies–Pointe-aux-Trembles,2,30 more,514250.0,4
 Rivière-des-Prairies–Pointe-aux-Trembles,3,20 less,699500.0,2
 Rivière-des-Prairies–Pointe-aux-Trembles,3,30 less,245000.0,2
 Rivière-des-Prairies–Pointe-aux-Trembles,3,30 more,409454.5833333333,12
 Rivière-des-Prairies–Pointe-aux-Trembles,3,5 less,489000.0,1
 Rivière-des-Prairies–Pointe-aux-Trembles,4,20 less,749000.0,1
 Rivière-des-Prairies–Pointe-aux-Trembles,4,30 more,369225.0,4
 Rivière-des-Prairies–Pointe-aux-Trembles,5,20 less,749900.0,1
 Rivière-des-Prairies–Pointe-aux-Trembles,5,30 more,426475.0,4
 Rivière-des-Prairies–Pointe-aux-Trembles,6,30 more,325000.0,1
 Rosemont–La Petite-Patrie,8,30 more,1150000.0,1
 Saint-Henri,3,30 more,1082500.0,2
 Saint-Laurent,4,10 less,1268000.0,1
 Saint-Laurent,4,20 less,1998000.0,1
 Saint-Laurent,4,30 more,541633.3333333334,3
 Saint-Laurent,5,20 less,799000.0,1
 Saint-Léonard,3,10 less,739900.0,1
 Saint-Michel,3,30 more,449000.0,1
 Saint-Simon,-1,30 more,709000.0,1
 Saint-Simon,3,30 more,1089000.0,1
 Saint-Simon,4,30 more,709000.0,4
 Saint-Sulpice,4,30 more,725000.0,1
 Saint-Édouard,2,30 more,758000.0,1
 Saint-Édouard,4,30 more,1195000.0,1
 Sainte-Anne-de-Bellevue,2,30 more,699000.0,1
 Sainte-Anne-de-Bellevue,3,20 less,449900.0,1
 Sainte-Anne-de-Bellevue,3,30 less,539000.0,1
 Sainte-Anne-de-Bellevue,3,30 more,478278.0,1
 Sainte-Anne-de-Bellevue,4,20 less,1258000.0,1
 Sainte-Anne-de-Bellevue,4,30 less,600750.0,4
 Sainte-Anne-de-Bellevue,4,30 more,1046242.25,4
 Sainte-Anne-de-Bellevue,5,30 more,525000.0,1
 Saraguay,4,20 less,1669000.0,1
 Saraguay,4,30 more,1019000.0,2
 Saraguay,5,20 less,1393000.0,2
 Saraguay,5,30 less,1399000.0,1
 Saraguay,5,30 more,1195000.0,1
 Saraguay,6,20 less,2699000.0,1
 Saraguay,6,30 more,889000.0,1
 Sault-Saint-Louis,2,30 more,454000.0,4
 Sault-Saint-Louis,3,30 more,510950.0,6
 Sault-Saint-Louis,4,30 more,991666.6666666666,3
 Sault-Saint-Louis,5,30 more,764000.0,2
 Sault-Saint-Louis,5,5 less,719000.0,1
 Sault-Saint-Louis,6,30 more,879000.0,1
 Sault-Saint-Louis,8,30 more,499000.0,1
 Sault-aux-Récollets,4,30 more,589000.0,1
 Sault-aux-Récollets,5,30 less,700000.0,1
 Sault-aux-Récollets,5,30 more,569900.0,1
 Savane,3,30 more,1349000.0,1
 Senneville,4,30 less,1995000.0,1
 Senneville,5,30 more,1946666.6666666667,3
 Snowdon,4,30 more,1538871.0,4
 Snowdon,5,30 more,1625000.0,1
 Snowdon,6,30 more,2550000.0,1
 Snowdon,7,10 less,1500000.0,1
 Tétraultville,3,30 more,294900.0,1
 Upper Lachine,3,30 more,968500.0,2
 Verdun,3,30 more,750000.0,1
 Verdun,4,10 less,1358000.0,1
 Verdun-Centre,5,20 less,925000.0,1
 Vieux-Lachine,2,30 more,284725.0,8
 Vieux-Lachine,3,20 less,516000.0,2
 Vieux-Lachine,3,30 more,459450.0,2
 Vieux-Lachine,4,30 more,624000.0,2
 Vieux-Montréal,3,20 less,1195000.0,1
 Vieux-Rosemont,3,30 less,620000.0,1
 Village de Pointe-Claire,2,30 more,349000.0,1
 Village de Pointe-Claire,3,30 more,475000.0,1
 Village de Pointe-Claire,4,30 more,1388000.0,1
 Village de Pointe-Claire,5,20 less,1895000.0,1
 Village de Pointe-Claire,5,30 more,1537500.0,2
 Ville-Marie,5,20 less,2698000.0,1
 Ville-Émard,2,30 more,499900.0,1
 Ville-Émard,3,30 more,589500.0,1
 Villeray,-1,30 more,539000.0,1
 Westmount,2,5 less,1099000.0,1
 Westmount,3,30 more,2164500.0,4
 Westmount,3,5 less,2074756.25,4
 Westmount,4,10 less,5588000.0,1
 Westmount,4,30 more,2234461.5384615385,13
 Westmount,4,5 less,2872560.0,1
 Westmount,5,30 more,3378875.0,16
 Westmount,6,30 more,2915600.0,5
 Westmount,7,30 more,4738800.0,5
 Westmount,8,30 more,6395000.0,2
 Westmount,9,30 more,7500000.0,1
 Édouard-Montpetit,4,30 more,1930000.0,1
 Édouard-Montpetit,5,30 more,3350000.0,1
 Île-des-Sœurs,2,30 less,778000.0,2
 Île-des-Sœurs,3,30 less,1698000.0,1
 Île-des-Sœurs,3,30 more,912933.3333333334,3
 Île-des-Sœurs,4,20 less,1867000.0,4
 Île-des-Sœurs,4,30 less,1539500.0,2
 Île-des-Sœurs,5,20 less,1266500.0,2
 Île-des-Sœurs,5,5 less,1399000.0,1
1603,4,30 more,989900.0,1
