small region,bedroom,year,avg_price,total
montreal-lasalle,2,10 less,624000.0,1
montreal-lasalle,2,30 more,459300.0,3
montreal-lasalle,2,5 less,569900.0,1
montreal-lasalle,3,20 less,639000.0,2
montreal-lasalle,3,30 less,962333.3333333334,3
montreal-lasalle,3,30 more,586690.0,10
montreal-lasalle,3,5 less,659900.0,2
montreal-lasalle,4,10 less,692000.0,2
montreal-lasalle,4,30 more,636300.0,20
montreal-lasalle,4,5 less,689000.0,1
montreal-lasalle,5,30 more,772000.0,3
montreal-lasalle,5,5 less,692687.5,8
montreal-lasalle,6,30 more,1199000.0,1
montreal-lasalle,6,5 less,739000.0,1
