small region,bedroom,year,avg_price,total
beaconsfield,-1,30 more,585000.0,1
beaconsfield,3,20 less,559000.0,2
beaconsfield,3,30 more,659975.0,4
beaconsfield,3,5 less,695000.0,5
beaconsfield,4,10 less,2393500.0,2
beaconsfield,4,30 more,1086582.608695652,23
beaconsfield,5,20 less,1150000.0,1
beaconsfield,5,30 less,1089000.0,1
beaconsfield,5,30 more,1090276.1904761905,21
beaconsfield,5,5 less,3053800.0,5
beaconsfield,6,20 less,5750000.0,1
beaconsfield,6,30 less,1598333.3333333333,3
beaconsfield,6,30 more,1105500.0,4
beaconsfield,6,5 less,2803400.0,5
